TCID,Tytuł,Warunki wstępne,ID Kroku,Opis kroku,Oczekiwany rezultat
RT01,MrBuggy_Eksport_pliku,"Otwarte okno folderu o ścieżce: C:\tralala.Użytkownik zalogowany na konto: Konto-10: e-mail: jakis@tam.com, hasło: Kasza1-Manna2",1,"Naciśnij przycisk ""Zakończ""
                               ",Zakończenie testu i eksport zaszyfrowanego pliku
,,,2,Otwórz okno folderu C:\tralala,W folderze będzie znajdować się plik importowany z MrBuggy
,,,3,Otwórz plik binarny z zadaniami testowymi,W pliku znajdować się będą odpowiednie dane
RT02,MrBuggy_wersja demonstracyjna_ilość zadań,"Użytkownik zalogowany, wersja demonstracyjna dostępna",1,Użytkownik sprawdza liczbę zadań dostępnych w wersji demonstracyjnej,Pojawia się 1 zadanie do rozwiązania
RT03,Logowanie do trybu kapitana większej liczby osób,"Użytkownik zalogowany, aplikacja w wersji kosumenckiej",1,Użytkownik wybiera tryb Kapitana,Wybrany tryb zostaje zimplementowany
,,,2,Użytkownik uruchamia aplikację w wejsji Konsumenckiej na innym urządzeniu,Aplikacja zostaje uruchomiona w wersji Konsumenckiej
,,,3,Użytkownik wybiera tryb Kapitana w tej samej grupie testerskiej,Tryb kapitana jest nieaktywny
RT04,"mrBuggy_Walidacja satusu konta""kapitan""",Isnieje konto: kapitan_1; e-mail:kapitan1@tester.com haslo kapitan_1!,1,Użytkownik wprowadza w pole login: kapitan_1,pole login jest uzupełnione
,,,2,Użytkownik wprowadza w pole haslo: kapitan_1!,pole hasło jest uzupełnione
,,,3,"Użytkownik klika przycisk ""zaloguj""",ekran powitalny urzytkownika kapitan_1 jest wyświetlony
,,,4,"Użytkownik klika guzik ""zaraportuj bład""",Urzytkownik Kapitan_1 ma możliwość zaraportowania błędu
RT05,"mrBuggy_Walidacja satusu konta""członka załogi""",Isnieje konto: załoga1_1; e-mail:załoga1@tester.com haslo zaloga1_1!,1,Użytkownik wprowadza w pole login: załoga1_1,pole login jest uzupełnione
,,,2,Użytkownik wprowadza w pole haslo: zaloga1_1!,pole hasło jest uzupełnione
,,,3,"Użytkownik klika przycisk ""zaloguj""",ekran powitalny urzytkownika załoga1_1 jest wyświetlony
,,,4,"Użytkownik klika guzik ""zaraportuj bład""",Urzytkownik załoga1_1 nie  ma możliwość zaraportowania błędu
RT06,"mrBuggy_Walidacja satusu konta""zawodnik""",Isnieje konto: zawodnik_1; e-mail:zawodnik1@tester.com haslo zawodnik_1!,1,Użytkownik wprowadza w pole login: zawodnik_1,pole login jest uzupełnione
,,,2,Użytkownik wprowadza w pole haslo: zawodnik_1!,pole hasło jest uzupełnione
,,,3,"Użytkownik klika przycisk ""zaloguj""",ekran powitalny urzytkownika zawonik_1 jest wyświetlony
,,,4,"Użytkownik klika guzik ""zaraportuj bład""",Użytkownik zawodnik_1 ma możliwość zaraportowania błędu
RT07,"mrBuggy_Walidacja satusu konta ""kapitan"" - możliwość dwóch kapitanów",Isnieje konto: kapitan_1; e-mail:kapitan1@tester.com haslo kapitan_1!,1,Użytkownik wprowadza w pole login: kapitan_1,pole login jest uzupełnione
,,,2,Użytkownik wprowadza w pole haslo: kapitan_1!,pole hasło jest uzupełnione
,,,3,"Użytkownik klika przycisk ""zaloguj""",ekran powitalny urzytkownika kapitan_1 jest wyświetlony
,,,4,"Użytkownik klika guzik ""zaraportuj bład""",Użytkownik Kapitan_1 ma możliwość zaraportowania błędu
,,,5,Użytkownik loguje sie na innej maszynie na tych samych loginach i hasłach ,wylogowanie pierwszego zalogowanego urzytkownika
RT08,Sprawdzenie liczby zadań w wersji Demo,Użytkowik ma dostęp do aplikacji,,Użytkownik wyświetla zadania demo,Aplikacja wyświetla 2 zadania
